,0
379,4.768017474490294e-12
380,1.7295391869555112e-12
381,3.5710384281638225e-12
382,4.306035318251171e-12
383,2.0153199350442214e-12
384,4.526169222752862e-12
385,2.076031889619552e-12
386,1.8298789677745294e-12
387,2.963788570645114e-12
388,4.9342243640080864e-12
389,4.027748743407056e-12
390,2.9178236560453512e-12
391,2.0382445377340834e-12
392,1.155516210729949e-11
393,3.154126184078424e-12
394,1.1706777206674226e-11
395,1.5230006271046577e-11
396,9.099104106788133e-12
397,1.6515443843363863e-11
398,1.7042258377070975e-11
399,1.0229486895208132e-11
400,8.43249035766261e-12
401,1.120132460174534e-12
402,6.018593576144272e-12
403,5.7109773166806965e-12
404,6.018300523953357e-12
405,6.489267221776694e-12
406,3.381051412116673e-12
407,7.594018055806082e-12
408,1.3806486318843584e-11
409,3.385084252161545e-12
410,2.066083078556237e-11
411,2.2510587771548595e-11
412,2.200022239177472e-11
413,1.2608585390072112e-11
414,3.56643263008011e-12
415,7.613207861692202e-12
416,7.745242631119219e-12
417,3.026692889891545e-12
418,3.282011477999341e-12
419,6.268546403988705e-12
420,1.1575692127173327e-11
421,1.2271114616575142e-11
422,1.736084874304105e-11
423,3.549045473253029e-11
424,3.4179253663343514e-11
425,8.416507584606628e-12
426,3.5725813944952274e-12
427,7.912483184566098e-12
428,7.987555138191126e-12
429,5.569066363842018e-12
430,5.941151372596782e-12
431,2.5877820988684215e-12
432,5.569148819738248e-12
433,3.965469961257081e-12
434,2.6432733355045486e-12
435,1.718413920537422e-12
436,7.485179720132876e-12
437,2.0769089099006692e-11
438,1.868189713443612e-11
439,6.00816050962108e-12
440,5.450606364075193e-12
441,2.958486511677645e-12
442,3.675647495651273e-12
443,1.9598164005155875e-12
444,3.0565070903400683e-12
445,5.271121017195281e-12
446,3.3531461157456005e-12
447,7.941291059151507e-12
448,6.052639570610413e-12
449,5.43736565879011e-12
450,7.423123348389296e-13
451,3.658905421344894e-12
452,6.478047830376349e-12
453,3.7473209251097e-12
454,7.315774407845576e-12
455,8.554218424408072e-12
456,2.870038009795276e-12
457,8.897928500468743e-12
458,1.0779118997871371e-11
459,4.7622028197713866e-12
460,1.4554607580347163e-11
461,1.5551771566908296e-11
462,1.3024377391957812e-11
463,1.4343391077466038e-12
464,6.124273996090878e-12
465,1.0475157235104437e-12
466,3.976958298582394e-12
467,2.6247757332652032e-12
468,7.530452634641631e-12
469,7.66212910060707e-12
470,1.0162983057017038e-11
471,1.0246364435578424e-11
472,1.857078428221367e-11
473,3.182133659009419e-11
474,3.09446429389944e-11
475,1.1751862181876686e-11
476,6.100841687006668e-12
477,1.218320779851443e-11
478,8.250981691808458e-12
479,1.4955920424280753e-11
480,9.64168557378025e-12
481,1.094928514397234e-11
482,6.784839518808827e-12
483,5.672529121803686e-12
484,6.8333454258074134e-12
485,1.2412361543616964e-11
486,2.767177440579542e-11
487,2.5385363681006787e-11
488,2.477782221784218e-11
489,2.2117892751478007e-11
490,1.6482188827120416e-11
491,1.6747891692368304e-11
492,1.8530155591985753e-11
493,2.267735417137126e-11
494,2.643084311456403e-11
495,3.627220463041009e-11
496,4.267341225007662e-11
497,5.276283131985094e-11
498,7.997821050118016e-11
499,1.62761683196536e-10
500,4000.000000000002
501,1.6356216534253526e-10
502,8.106759607959648e-11
503,5.204020477058145e-11
504,3.876058338034972e-11
505,3.380654943116096e-11
506,2.725346730342074e-11
507,2.35681564399205e-11
508,1.9973495204407423e-11
509,1.8862044205626228e-11
510,1.9922744991990296e-11
511,1.3126787834885108e-11
512,1.7543725217475767e-11
513,1.1197953969811193e-11
514,1.114961881650506e-11
515,1.4558227816734918e-11
516,8.757292687721147e-12
517,8.8057673559553e-12
518,5.851611879462372e-12
519,1.1847495923834371e-11
520,5.994362501681579e-12
521,1.1967429855207434e-11
522,4.930261131528731e-12
523,3.714113829639446e-11
524,4.0758725678346985e-11
525,9.381554403830434e-12
526,1.483705393987143e-11
527,1.9311629512498846e-12
528,1.2026569196892119e-11
529,8.80907683780443e-12
530,1.0420299566941415e-11
531,8.970487607431794e-12
532,9.901716678039261e-12
533,9.532397311398832e-12
534,8.026603777577652e-12
535,9.497788138984142e-12
536,1.3724771122499508e-11
537,1.520280903570038e-11
538,1.979658652916162e-11
539,4.52747512706007e-12
540,3.3543789099333356e-12
541,4.621056077679884e-12
542,7.420119401449162e-12
543,4.187599312936134e-12
544,1.009883832224504e-11
545,5.915029345220609e-12
546,8.462897840294572e-12
547,7.100317670721821e-12
548,1.599320359214845e-11
549,3.031971406396245e-11
550,4000.000000000002
551,2.127029589377121e-11
552,8.531940941621282e-12
553,7.693203560501068e-12
554,5.722371891375501e-12
555,5.475390575907419e-12
556,3.4013171852248687e-12
557,5.7680243569262934e-12
558,4.068076678273826e-12
